Name,NameASCII,Season,Team,Age,PA,wRC+,BB%,K%,ISO,Spd,AVG,OBP,SLG,OPS,wOBA,BABIP,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,HBP,z_wRC+,z_BB%,z_K%,z_ISO,z_Spd,composite_score,age_multiplier,adjusted_composite,player_type,seasons_used
Hyun Min Ahn 안현민,Hyun Min Ahn,2026,Wiz (KBO),22,769,172.83623685362537,0.16384915411443435,0.1716514950546164,0.231846548816645,4.813696301823684,0.3195300113849155,0.4525357604564369,0.5513765602015605,1.0039123206579972,0.4517362465026423,0.3588188608088427,177,612,196,30,5,34,115,127,126,132,10,1,26,3.474863077708823,3.3303320152369857,-0.6116117676696912,2.0479061553251556,0.3181821014194584,2.4081831334793242,1.15,2.7694106035012225,KBO_only,2025-2026
Do Yeong Kim 김도영,Do Yeong Kim,2026,Tigers (KBO),22,1645,156.2954670289096,0.11306990858176293,0.17082066850455926,0.2726440391294833,7.148787799323753,0.319888246556231,0.3994902037209726,0.5925322856857143,0.992022489406687,0.43209101506310277,0.34002565068085105,372,1425,456,82,16,91,334,281,186,281,77,9,14,3.2127319678205986,1.310617961679021,-0.7541743144485596,3.3398476475204495,1.999993635885305,2.272569121025839,1.15,2.6134544891797145,KBO_only,2023-2026
Yonathan Perlaza 페라자,Yonathan Perlaza,2026,Eagles (KBO),27,1011,128.40287283713653,0.14243323395548962,0.22057368859940651,0.2134516125816024,3.5774591072724355,0.28160293034124634,0.385575912768546,0.4950545429228487,0.8806304556913946,0.3922185508361492,0.3305356835519288,236,853,240,48,1,44,156,135,144,223,17,10,5,1.5581159181320434,2.568706751306628,0.36590215036020896,1.817495595144576,-0.4371150970391917,1.3745137500372346,1.0,1.3745137500372346,KBO_only,2024-2026
Lewin Díaz 디아즈,Lewin Diaz,2026,Lions (KBO),29,1271,146.76617567187884,0.0983477573202203,0.16758457835326515,0.2672202147175452,1.9512120599138787,0.304856076263572,0.37450826089771827,0.5720762909811172,0.9465845518788356,0.4132896276792196,0.311048327689221,291,1119,341,65,0,78,182,279,125,213,3,0,10,2.5807856702929732,0.5261224375155397,-0.7888352091906878,3.075526201956004,-1.534711036788431,1.4857257285577377,0.9,1.337153155701964,KBO_only,2024-2026
Si-hwan Roh 노시환,Si-hwan Roh,2026,Eagles (KBO),25,2316,128.4153113656991,0.10794473174568221,0.21718480069214163,0.2215779295284974,3.9414271171453326,0.27608209637996545,0.3641440305686529,0.4976600259084628,0.8618040564771157,0.3855877801892079,0.31461307277547496,521,2014,556,98,6,112,354,374,250,503,25,9,37,1.8016318372891962,1.0982995870874208,0.3248672063817396,2.2849984093272635,-0.23147178625158996,1.200186870241647,1.0,1.200186870241647,KBO_only,2023-2026
Seung-kyu Park 박승규,Seung-kyu Park,2026,Lions (KBO),25,505,130.0089370948867,0.13663366325742574,0.17227722767326734,0.16831045861386137,6.18807539999571,0.285329236039604,0.3928255133465346,0.4536396946534654,0.846465208,0.3883450233751974,0.3266336633663366,146,424,121,16,5,15,95,51,69,87,12,5,8,1.3160489620091895,1.8576260901078057,-0.5110502701518662,0.7119381343050685,0.9786076335088904,1.1761271418643908,1.0,1.1761271418643908,KBO_only,2025-2026
Bo-gyeong Moon 문보경,Bo-gyeong Moon,2026,Twins (KBO),25,2110,121.82762081028301,0.12180094734739337,0.1763033169023697,0.17151416352890997,3.466750575201142,0.28542818038672985,0.37181019297819906,0.45694234391563987,0.8287525368938389,0.37551531938441374,0.3211332220592417,507,1799,514,96,9,65,287,334,257,372,19,15,9,1.4150259422237694,1.8241062743005316,-0.6530984824998756,1.0834528223464093,-0.5699532402355166,1.138194364062975,1.0,1.138194364062975,KBO_only,2023-2026
Seong-yoon Kim 김성윤,Seong-yoon Kim,2026,Lions (KBO),27,1295,123.80509323582551,0.10038609992355212,0.11196911169266408,0.10893577327722008,7.165314909380714,0.3143892082679537,0.38826936806100387,0.42332498154517373,0.8115943496061775,0.3765207907091901,0.3495709945019305,359,1113,350,54,17,11,209,139,130,145,66,17,12,1.4080625047295723,0.6289480037118454,-2.0224653384492477,-0.3609290281467843,1.9292546902366399,1.0037652165085273,1.0,1.0037652165085273,KBO_only,2023-2026
Seung Yeup Na 나승엽,Seung Yeup Na,2026,Giants (KBO),24,1198,112.9144387242957,0.13439065050417362,0.16277128510767946,0.13860595629632724,2.7250656996207727,0.27574332482721203,0.37634598160350585,0.41434928112353925,0.7906952627270452,0.3646909286631406,0.3186308129449082,303,1012,279,62,6,22,137,153,161,195,2,0,9,0.8333986401278248,2.274344344078369,-0.8836152658438065,0.28046793696105626,-1.0103773700841994,0.9062038183183021,1.05,0.9515140092342173,KBO_only,2024-2026
Ji-chan Kim 김지찬,Ji-chan Kim,2026,Lions (KBO),25,1719,113.45104048428682,0.11867364687143689,0.09016870218324607,0.05060165533507854,7.081339686108992,0.30767929536998256,0.40199467118673654,0.35828095070506105,0.7602756218917976,0.36398910256588857,0.34060398663176267,439,1440,443,39,11,4,309,114,204,155,97,11,28,0.9215385824389655,1.6102289722957945,-2.6310799377252674,-1.7090481920342557,1.9665850209512081,0.9285296721526979,1.0,0.9285296721526979,KBO_only,2023-2026
