Rank,Name,Team,seasons_used,PA,Age,wRC+,BB%,K%,ISO,Spd,adjusted_composite,Percentile
1,Hyun Min Ahn 안현민,Wiz (KBO),2025-2026,571,22,179.59936874307897,0.1593695263712785,0.1593695268301226,0.2321453114921191,5.311561406912112,2.571176978687144,98.7012987012987
2,Do Yeong Kim 김도영,Tigers (KBO),2023-2026,1443,22,150.55076069032634,0.1081081078011088,0.16909216904712404,0.25373017493901595,7.483823651389077,2.1891445867397246,97.40259740259741
3,Bo-gyeong Moon 문보경,Twins (KBO),2023-2026,1943,25,126.55833383393305,0.12249099280185281,0.17344312854194546,0.17681724681471953,3.6399401613680697,1.2154125928863952,96.1038961038961
4,Seong-yoon Kim 김성윤,Lions (KBO),2023-2026,1107,27,124.36982791447475,0.09756097506142727,0.1174345072285456,0.11667942233604336,7.682775144760783,1.0776655976994427,94.8051948051948
5,Ji-chan Kim 김지찬,Lions (KBO),2023-2026,1523,25,109.42806342687413,0.11884438543663822,0.08995403768417597,0.05004003558568614,6.9828005664917665,1.0348413158046803,93.5064935064935
6,Seung-kyu Park 박승규,Lions (KBO),2025-2026,415,25,134.72369288253674,0.12530120455421687,0.18072289140963857,0.1845866226746988,5.764208563953824,1.0068815003646614,92.20779220779221
7,Si-hwan Roh 노시환,Eagles (KBO),2023-2026,2107,25,125.97775632372073,0.10915994248742288,0.21499762623160892,0.21421492256763172,3.949422497779129,0.9926357198112108,90.9090909090909
8,Seung Yeup Na 나승엽,Giants (KBO),2024-2026,1034,24,113.32219063261545,0.136363635950677,0.1663442936324952,0.14854242107059965,2.592110084419991,0.9702539446746574,89.6103896103896
9,Seong-han Park 박성한,Landers (KBO),2023-2026,1944,28,115.99050724902202,0.1296296291213992,0.13683127522427985,0.10610495899228393,3.5537062756083677,0.948742422554012,88.31168831168831
10,Sung-ju Moon 문성주,Twins (KBO),2023-2026,1582,29,114.53655446918576,0.11441213605689002,0.09292035320101137,0.07080785898735778,4.319657674487289,0.8433408268174291,87.01298701298701
11,Baek-ho Kang 강백호,Eagles (KBO),2023-2026,1543,26,123.85450834071426,0.10693454257031756,0.198963058367466,0.2007096757524303,2.8887038187079965,0.8379679127579529,85.71428571428571
12,Jae Hyeon Lee 이재현,Lions (KBO),2023-2026,1686,23,108.27557147359616,0.1168446022876631,0.1826809011227758,0.16078402345788848,3.71730194838353,0.7609580260981863,84.4155844155844
13,Ju Won Kim 김주원,Dinos (KBO),2023-2026,1883,23,114.32172268698281,0.0971853422692512,0.19490175191396708,0.1425540013882103,6.37299205698115,0.6724915402961316,83.11688311688312
14,Dong Hee Yoon 윤동희,Giants (KBO),2023-2026,1572,22,109.48926662281798,0.1011450375903308,0.179389312706743,0.13202135402480916,3.666209890606213,0.5088367722870849,81.81818181818183
15,Hyun Bin Moon 문현빈,Eagles (KBO),2023-2026,1673,22,110.36883009910177,0.08069336478601316,0.1506276144775852,0.13446281637417812,4.502206866810253,0.45718540114899503,80.51948051948052
