Season,Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
2024,"Henry Ramos 라모스","Bears (KBO)",32,348,0.077586206,0.172413793,0.45,0.305466237,0.360230547,0.482315112,0.842545659,0.176848875,3.9945215593373478,0.344129554,-1.0712411543354392,53.750580181567,6.714521934477625,0.37251092329879715,114.27526494504482,"Henry Ramos","11481",
2023,"Niko Goodrum 구드럼","Giants (KBO)",31,201,0.11442786,0.228855721,0.5,0.294797687,0.373134328,0.387283236,0.760417564,0.092485549,1.86920849,0.389312977,-0.17647781665436924,26.940759990866855,3.2697295290786754,0.3574817308783531,113.81321161474975,"Niko Goodrum","12092",
2023,"Sócrates Brito 소크라테스","Tigers (KBO)",30,608,0.085526315,0.131578947,0.65,0.285191956,0.34375,0.462522851,0.806272851,0.177330895,5.264935891864174,0.298901098,0.034443591022863984,86.50940176739081,14.907478778499206,0.3682288293609556,120.8199419180571,"Socrates Brito","12944",
2024,"Sócrates Brito 소크라테스","Tigers (KBO)",31,602,0.068106312,0.15116279,0.45054945,0.309782608,0.358803986,0.516304347,0.875108333,0.206521739,5.016746078587073,0.329545454,-0.18454745807684958,98.33300423055323,16.96602990656528,0.3828306860947689,120.85124836891406,"Socrates Brito","12944",
2025,"Patrick Wisdom 위즈덤","Tigers (KBO)",33,486,0.106995884,0.292181069,0.366197183,0.235849056,0.320987654,0.535377358,0.856365012,0.299528302,3.917747754618488,0.256916996,0.20776524487882853,74.47809586071547,15.346769036288817,0.3759480195104583,125.95370315612331,"Patrick Wisdom","13602",
2023,"Addison Russell 러셀","Heroes (KBO)",29,235,0.072340425,0.165957446,0.435897435,0.287037037,0.340425531,0.402777777,0.743203308,0.11574074,2.8147498354931364,0.333333333,0.011557588586583734,29.545542070794983,1.8704567050227388,0.34666123731523496,106.75863029978605,"Addison Russell","14106",
2025,"Yasiel Puig 푸이그","Heroes (KBO)",34,172,0.069767441,0.220930232,0.315789473,0.211538461,0.28488372,0.339743589,0.624627309,0.128205128,1.2806776525,0.241071428,-0.16409821761772037,14.97334372425225,-5.953792518137431,0.2927446905956712,71.5498936444179,"Yasiel Puig","14225",
2023,"Anthony Alford 알포드","Wiz (KBO)",28,547,0.085923217,0.255941499,0.335714285,0.289205702,0.356489945,0.456211812,0.812701757,0.16700611,6.1576886647616025,0.374631268,1.709336938103661,81.2520621267423,16.83388470088094,0.37637689851579215,126.13219649105254,"Anthony Alford","14329",
2023,"Nick Williams 윌리엄스","Eagles (KBO)",29,273,0.029304029,0.23076923,0.126984126,0.244186046,0.274725274,0.403100775,0.677826049,0.158914729,2.400761000548502,0.285714285,-0.37452191580086946,26.886952117955765,-5.263253434622206,0.31118470146542504,83.62917641066163,"Nick Williams","14330",
2025,"Jake Cave 케이브","Bears (KBO)",32,593,0.072512647,0.195615514,0.370689655,0.299256505,0.350758853,0.462825278,0.813584131,0.163568773,6.213794850922424,0.350241545,2.3410486676730216,86.67575416147822,14.525801883937064,0.3670457210895178,120.13279486043216,"Jake Cave","14477",
2026,"Harold Castro 카스트로","Tigers (KBO)",32,311,0.048231511,0.151125401,0.319148936,0.323024054,0.356913183,0.553264604,0.910177787,0.23024055,1.71200607125,0.340517241,-0.2332238405942917,53.799900634805596,13.621746404687805,0.3983478154565138,133.90336531307568,"Harold Castro","14691",
2024,"Victor Reyes 레이예스","Giants (KBO)",29,632,0.07278481,0.129746835,0.560975609,0.351916376,0.393987341,0.510452961,0.904440302,0.158536585,4.209930517895324,0.383196721,0.5155314158182591,113.02191901300716,27.600112081511483,0.4008136298921373,132.3103819422194,"Victor Reyes","15487",
2025,"Victor Reyes 레이예스","Giants (KBO)",30,643,0.090202177,0.102643856,0.878787878,0.32635253,0.385692068,0.474694589,0.860386657,0.148342059,3.3287623290885957,0.345924453,0.2770103090442717,101.47435843469003,23.2409363192449,0.3816884447591373,129.70717078558752,"Victor Reyes","15487",
2026,"Victor Reyes 레이예스","Giants (KBO)",31,508,0.080708661,0.112204724,0.719298245,0.354978354,0.407480314,0.521645021,0.929125335,0.166666667,2.395911638939584,0.380710659,-0.7542007323354483,94.46798985882727,28.83936494275061,0.4139315841678612,143.94327167395213,"Victor Reyes","15487",
2023,"Jason Martin 마틴","Dinos (KBO)",27,503,0.113320079,0.212723658,0.53271028,0.28275862,0.359840954,0.455172413,0.815013367,0.172413793,4.7771954258315565,0.330218068,1.3242926793172956,74.09094521285692,14.85448589803377,0.3747577876625899,125.07659314863308,"Jason Martin","16429",
2025,"Ryan McBroom 맥브룸","Landers (KBO)",33,80,0.0625,0.35,0.178571428,0.202702702,0.2625,0.405405405,0.667905405,0.202702703,1.08035714,0.261904761,-0.048028746619820595,6.875867267625226,-2.8576844730211364,0.29135448657549345,70.64088680920322,"Ryan McBroom","16524",
2025,"Luis Liberato 리베라토","Eagles (KBO)",29,546,0.084249084,0.172161172,0.489361702,0.31300813,0.366300366,0.524390243,0.890690609,0.211382113,4.280212638463427,0.347150259,-0.1603353712707758,92.9250010425465,26.49351041263508,0.39724787731310385,139.8809512799132,"Luis Liberato","17307",
2025,"Andrew Stevenson 스티븐슨","Wiz (KBO)",31,336,0.083333333,0.25595238,0.325581395,0.261744966,0.341317365,0.402684563,0.744001928,0.140939597,4.655200492539164,0.349514563,0.4637987855821848,43.324451398394054,2.4435340876793368,0.34539663720273683,105.9771997509432,"Andrew Stevenson","17932",
